GEOID,state,funding_ics,raw_funding,econ_impact,jobs,pop_2024
0101,AL,FIC,2695.5714836378265,6637.729779674715,0.024799257649468005,760389
0101,AL,NCATS,158117.15690151262,389356.75325747894,1.454677843493916,760389
0101,AL,NCCIH,18793.65402744188,46278.57126552667,0.1729016170524653,760389
0101,AL,NCI,1009189.5183200961,2485086.1347028986,9.284543568544883,760389
0101,AL,NEI,130215.10336456711,320649.1367833964,1.1979789509540175,760389
0101,AL,NHGRI,43881.584032487975,108056.52859877158,0.40371057309888936,760389
0101,AL,NHLBI,2483165.6263463595,6114689.417777809,22.845123762386507,760389
0101,AL,NIA,623256.7163584786,1534743.0745823968,5.733961790498004,760389
0101,AL,NIAAA,41095.53083554963,101195.99146023569,0.3780788836870566,760389
0101,AL,NIAID,1394787.9381839903,3434605.793173204,12.83204903129271,760389
0101,AL,NIAMS,87838.6736523257,216298.98648516377,0.8081157976013964,760389
0101,AL,NIBIB,60600.37124092101,149225.82884069797,0.5575234154164733,760389
0101,AL,NICHD,170758.8412210849,420486.3615734223,1.570981339233981,760389
0101,AL,NIDA,299628.2659489157,737821.8221233537,2.7565800467300243,760389
0101,AL,NIDCD,39645.45510061416,97625.24182625636,0.3647381869256503,760389
0101,AL,NIDCR,106190.17957683316,261488.78691018812,0.9769496521068651,760389
0101,AL,NIDDK,396166.70646465407,975543.6133592078,3.6447336994748176,760389
0101,AL,NIEHS,411993.7137904537,1014516.9436853662,3.7903421668721737,760389
0101,AL,NIGMS,423586.9124966933,1043064.7009090928,3.8969995949695786,760389
0101,AL,NIMH,195526.43541215904,481475.50563096494,1.7988432057918633,760389
0101,AL,NIMHD,270198.2216223269,665351.593517095,2.485823638925407,760389
0101,AL,NINDS,350185.2630060409,862316.2705080494,3.221704419655576,760389
0101,AL,NINR,73731.5969380969,181560.91191411915,0.67833069183049155,760389
0101,AL,NLM,2146.6697967776895,5286.082793089088,0.019749362130354744,760389
0101,AL,OD,558439.751402749,1375134.063607793,5.13764571290529,760389
0102,AL,FIC,2949.833281248832,7263.838608945502,0.027138466187489253,703362
0102,AL,NCATS,216632.5565152785,533448.4284156089,1.9930195199405623,703362
0102,AL,NCCIH,34915.683124332965,85978.38011674481,0.3212242847438633,703362
0102,AL,NCI,2106393.1328246943,5186903.2263925485,19.378816821987186,703362
0102,AL,NEI,192219.15237645232,473331.4622512298,1.7684162018633613,703362
0102,AL,NHGRI,157798.9650032457,388573.2192827364,1.4517504780298605,703362
0102,AL,NHLBI,3038346.1198795224,7481797.697928584,27.952784302891605,703362
0102,AL,NIA,824027.5389281827,2029132.659852163,7.581053358139281,703362
0102,AL,NIAAA,94891.8091849742,233667.03183262417,0.8730046445017627,703362
0102,AL,NIAID,1798995.4056814867,4429949.437539906,16.550757732269677,703362
0102,AL,NIAMS,121154.0134169761,298336.5893527244,1.11461692343618,703362
0102,AL,NIBIB,66950.88642335156,164863.70155101756,0.6159481550948344,703362
0102,AL,NICHD,331976.9182031133,817478.9982373591,3.0541876474686425,703362
0102,AL,NIDA,348011.14473292,856962.5970129753,3.201702531542864,703362
0102,AL,NIDCD,42731.024444329254,105223.32469823738,0.39312542488782914,703362
0102,AL,NIDCR,129592.7903979678,319116.7176523336,1.1922536716613037,703362
0102,AL,NIDDK,701916.8142925209,1728440.20993875,6.457634691491192,703362
0102,AL,NIEHS,480107.29759159737,1182243.7379260664,4.416987137842696,703362
0102,AL,NIGMS,1350626.0313977464,3325858.9817524706,12.425759488859267,703362
0102,AL,NIMH,294358.95669160964,724846.3728771205,2.7081024015628086,703362
0102,AL,NIMHD,1954269.7459464327,4812305.876110413,17.97928166270718,703362
0102,AL,NINDS,458244.3307538181,1128407.1148084633,4.215847842935126,703362
0102,AL,NINR,90120.55336767975,221918.0179344059,0.8291090909826537,703362
0102,AL,NLM,2144.803221826912,5281.486431904835,0.019732189640807588,703362
0102,AL,OD,2193334.80447873,5400993.383724927,20.178680201204315,703362
0103,AL,FIC,6183.524224849005,15226.66460146265,0.056888422868610844,737665
0103,AL,NCATS,1082807.3402738732,2666366.8805720117,9.961827530519633,737665
0103,AL,NCCIH,181051.57898060992,445831.78919628,1.6656745266216113,737665
0103,AL,NCI,4434323.452097086,10919332.323167397,40.79577575929319,737665
0103,AL,NEI,928907.5181502429,2287395.134284642,8.545949166982235,737665
0103,AL,NHGRI,252495.50478754053,621759.4085467934,2.322958644045373,737665
0103,AL,NHLBI,4830255.090863838,11894297.092349006,44.43834683594731,737665
0103,AL,NIA,2555026.1135435784,6291642.801780517,23.50624024460092,737665
0103,AL,NIAAA,509996.303061234,1255844.1387668268,4.691965988163353,737665
0103,AL,NIAID,4873502.682206683,12000792.440997,44.836224676301484,737665
0103,AL,NIAMS,559094.4471673802,1376746.2239974907,5.143668913939898,737665
0103,AL,NIBIB,69838.96022723167,171975.46008173257,0.6425184340905313,737665
0103,AL,NICHD,1671886.6884537472,4116949.644093442,15.381357533774475,737665
0103,AL,NIDA,1088821.8117964484,2681177.260106271,10.017160668527325,737665
0103,AL,NIDCD,123643.1724076623,304466.0371744995,1.1375171861504931,737665
0103,AL,NIDCR,622990.8597231432,1534088.41395989,5.731515909452917,737665
0103,AL,NIDDK,2675273.211872303,6587746.151419339,24.612513549225188,737665
0103,AL,NIEHS,406106.7647316731,1000020.5827778229,3.7361822355313925,737665
0103,AL,NIGMS,3393386.659361421,8356069.8796220645,31.219157266125073,737665
0103,AL,NIMH,1339940.1005135411,3299545.3328345385,12.327448924724578,737665
0103,AL,NIMHD,1309521.231141749,3224640.1647398355,12.04759532650409,737665
0103,AL,NINDS,1582527.415808758,3896906.2474608147,14.559252225440574,737665
